,__1,__2,__3,CONTROL POINT TABLE,__4,__5,__6,CL CONST. ALICO ROAD / WILDBLUE BLVD / EXISTING ALICO ROAD,__7,__8,__9,__10,__11
POINT NO.,,,ELEVATION,STATION,OFFSET,DESCRIPTION,ALIGNMENT,POINT NO.,,,CONTROL,CURVE NO.,STATION
500,784988.3236,740358.6369,21.55,219+54.23,17.98,"SET 1"" IRON PIPE AND CAP LB #642",BL_ALICO,BL6,785008.287,738198.628,POT,,197+93.71
501,784995.1018,741245.7644,23.24,228+41.34,26.81,"SET 1"" IRON PIPE AND CAP LB #642",BL_ALICO,BL7,785146.146,746037.780,POT,,276.34.08
502,785021.8673,742401.381,22.9,239+97.25,20.36,"SET 1"" IRON PIPE AND CAP LB #642",BL_ALICO,BL8,785179.067,747683.849,POT,,292+80.47
503,785047.2085,743470.4853,23.28,250+66.63,13.82,"SET 1"" IRON PIPE AND CAP LB #642",BL_ALICO,BL9,785180.067,747733.839,PC,BL_CURVE 1,293+30.47
504,785067.1898,744400.2232,23.45,259+96.58,10.19,"SET 1"" IRON PIPE AND CAP LB #642",BL_ALICO,BL10,785186.923,748076.663,PI,BL_CURVE 1,296+73.37
505,785110.7394,745443.9604,25.95,270+40.92,-15.00,SET MAG NAIL AND DISK LB #642,,,,,,,
506,785136.6221,746501.3468,26.57,280+98.66,18.36,SET MAG NAIL AND DISK LB #642,,,,,,,
507,785126.6008,747340.2278,25.92,289+34.16,97.77,SET MAG NAIL AND DISK LB #642,BL_ALICO,BL12,785443.520,748759.225,PI,BL_CURVE 2,303+95.96
508,785189.44,748023.688,28.18,296+00.04,147.71,FOUND MAG NAIL WITH DISK TRAV PT,BL_ALICO,BL13,785435.014,749145.438,PT,BL_CURVE 2,307+72.87
509,785475.8057,749294.6394,23.687,309+17.42,-29.12,"SET 1"" IRON PIPE AND CAP LB #642",BL_ALICO,BL14,785386.737,751337.485,POT,,329+65.45
510,785330.4096,750366.1732,23.11,319+91.90,92.55,"SET 1"" IRON PIPE AND CAP LB #642",CL_ALICO,CL1,784962.152,735571.432,PI,,171+66.11
511,785325.3533,751351.6411,26.225,329+77.37,60.82,"SET 1"" IRON PIPE AND CAP LB #642",CL_ALICO,CL2,784996.486,737524.552,PC,CL_CURVE 1,191+19.50
512,785316.2372,752351.9284,26.574,339+77.62,47.82,"SET 1"" IRON PIPE AND CAP LB #642",CL_ALICO,CL3,785000.421,737748.332,PI,CL_CURVE 1,193+43.35
513,785410.0626,754057.8145,25.746,354+00.76,508.38,"SET 1"" IRON PIPE AND CAP LB #642",,,,,,,
600,784979.595,739471.746,23.75,210+67.32,11.12,,,,,,,,
601,784988.528,739991.635,23.48,215+87.29,11.33,,,,,,,,
602,785004.025,740873.827,23.69,224+69.62,11.34,,,,,,,,
603,785023.423,741946.778,25.19,235+42.74,10.81,,,,,,,,
604,785040.277,742962.559,26.29,245+58.66,11.82,,,,,,,,
605,785059.739,744035.134,25.85,256+31.41,11.22,,,,,,,,
606,785074.409,744894.296,26.16,264+90.70,11.66,,,,,,,,
607,785096.529,745961.086,26.47,275+57.56,8.63,,,,,,,,
608,785120.452,747219.676,26.85,288+13.51,93.93,,,,,,,,
609,785131.417,747776.591,26.47,293+53.83,148.6,,,,,,,,
4005,785106.916,739036.794,24.054,206+34.68,-123.83,,,,,,,,
4045,785073.4163,737791.6015,25.47,193+83.82,-79.32,SET MAG NAIL AND DISK LB #642,,,,,,,
